"Impl","date","roast sha1","pass","fail","todo","skip","plan","spec","notes"
"rakudo","2012-12-12","fd42eb1",24281,2,678,1707,26668,24607,""
"niecza","2012-12-11","3ac110d",20853,13,745,1505,23116,24605,""
"pugs","2012-12-11","3ac110d",0,14428,0,0,14428,24356,""
"rakudo","2012-12-11","3ac110d",24261,2,670,1707,26640,24607,""
"niecza","2012-12-10","4677a6f",20849,17,745,1505,23116,24603,""
"pugs","2012-12-10","4677a6f",0,14426,0,0,14426,24354,""
"rakudo","2012-12-10","4677a6f",24258,2,671,1707,26638,24605,""
"niecza","2012-12-09","ad3da93",20854,12,745,1505,23116,24603,""
"pugs","2012-12-09","ad3da93",0,14426,0,0,14426,24354,""
"rakudo","2012-12-09","ad3da93",24258,2,671,1707,26638,24605,""
"niecza","2012-12-08","ed49c88",20853,13,745,1505,23116,24603,""
"pugs","2012-12-08","ed49c88",0,14426,0,0,14426,24354,""
"rakudo","2012-12-08","ed49c88",24258,2,671,1707,26638,24605,""
"niecza","2012-12-07","ed49c88",20854,12,745,1505,23116,24603,""
"pugs","2012-12-07","ed49c88",0,14426,0,0,14426,24354,""
"rakudo","2012-12-07","ed49c88",24258,2,671,1707,26638,24605,""
"niecza","2012-12-06","7fb70de",20854,12,745,1505,23116,24603,""
"pugs","2012-12-06","7fb70de",0,14426,0,0,14426,24354,""
"rakudo","2012-12-06","7fb70de",24258,3,671,1706,26638,24605,""
"niecza","2012-12-05","59f4e89",20851,15,745,1505,23116,24603,""
"pugs","2012-12-05","59f4e89",0,14426,0,0,14426,24354,""
"rakudo","2012-12-05","59f4e89",24193,69,670,1706,26638,24605,""
"niecza","2012-12-04","2c74a24",20847,13,742,1503,23105,24603,""
"pugs","2012-12-04","2c74a24",0,14426,0,0,14426,24354,""
"rakudo","2012-12-04","2c74a24",24259,3,670,1706,26638,24605,""
"niecza","2012-12-03","35dca83",20784,35,733,1501,23053,24603,""
"pugs","2012-12-03","35dca83",0,14426,0,0,14426,24354,""
"rakudo","2012-12-03","35dca83",24259,3,670,1706,26638,24605,""
"niecza","2012-12-02","a5c9497",20783,36,733,1501,23053,24603,""
"pugs","2012-12-02","a5c9497",0,14426,0,0,14426,24354,""
"rakudo","2012-12-02","a5c9497",24259,3,670,1706,26638,24605,""
"niecza","2012-12-01","912d361",20786,33,733,1501,23053,24597,""
"pugs","2012-12-01","912d361",0,14426,0,0,14426,24348,""
"rakudo","2012-12-01","912d361",24258,5,670,1705,26638,24599,""
"niecza","2012-11-30","127f694",20799,15,733,1502,23049,24593,""
"pugs","2012-11-30","127f694",0,14425,0,0,14425,24344,""
"rakudo","2012-11-30","127f694",24255,3,670,1706,26634,24595,""
"niecza","2012-11-29","127f694",20795,19,733,1502,23049,24593,""
"pugs","2012-11-29","127f694",0,14425,0,0,14425,24344,""
"rakudo","2012-11-29","127f694",24256,2,670,1706,26634,24595,""
"niecza","2012-11-28","98bd346",20799,15,733,1502,23049,24592,""
"pugs","2012-11-28","98bd346",0,14425,0,0,14425,24343,""
"rakudo","2012-11-28","98bd346",24254,3,670,1706,26633,24594,""
"niecza","2012-11-27","c196552",20798,16,733,1502,23049,24592,""
"pugs","2012-11-27","c196552",0,14425,0,0,14425,24343,""
"rakudo","2012-11-27","c196552",24244,3,670,1706,26623,24594,""
"niecza","2012-11-26","5a39d8b",20799,15,733,1502,23049,24592,""
"pugs","2012-11-26","5a39d8b",0,14425,0,0,14425,24343,""
"rakudo","2012-11-26","5a39d8b",24234,3,670,1716,26623,24594,""
"niecza","2012-11-25","e87efa1",17487,3352,682,1348,22866,24592,""
"pugs","2012-11-25","e87efa1",0,14425,0,0,14425,24343,""
"rakudo","2012-11-25","e87efa1",24235,2,670,1716,26623,24594,""
"niecza","2012-11-24","d18cdd7",20797,15,733,1502,23047,24590,""
"pugs","2012-11-24","d18cdd7",0,14425,0,0,14425,24341,""
"rakudo","2012-11-24","d18cdd7",24227,3,670,1716,26616,24592,""
"niecza","2012-11-23","d18cdd7",20796,16,733,1502,23047,24590,""
"pugs","2012-11-23","d18cdd7",0,14425,0,0,14425,24341,""
"rakudo","2012-11-23","d18cdd7",24228,2,670,1716,26616,24592,""
"niecza","2012-11-22","3c2dc0e",20797,15,733,1502,23047,24590,""
"pugs","2012-11-22","3c2dc0e",0,14425,0,0,14425,24341,""
"rakudo","2012-11-22","3c2dc0e",24227,3,670,1716,26616,24592,""
"niecza","2012-11-21","c5f5026",20796,15,733,1502,23046,24589,""
"pugs","2012-11-21","c5f5026",0,14425,0,0,14425,24340,""
"rakudo","2012-11-21","c5f5026",24230,3,670,1713,26616,24591,""
"niecza","2012-11-20","6320c7c",20797,14,733,1502,23046,24589,""
"pugs","2012-11-20","6320c7c",0,14425,0,0,14425,24340,""
"rakudo","2012-11-20","6320c7c",24132,128,649,1707,26616,24591,""
"niecza","2012-11-19","f631233",20796,14,733,1502,23045,24588,""
"pugs","2012-11-19","f631233",0,14425,0,0,14425,24339,""
"rakudo","2012-11-19","f631233",24229,3,670,1713,26615,24590,""
"niecza","2012-11-18","a6be9c5",20795,14,733,1502,23044,24587,""
"pugs","2012-11-18","a6be9c5",0,14425,0,0,14425,24338,""
"rakudo","2012-11-18","a6be9c5",24227,6,668,1713,26614,24589,""
"niecza","2012-11-17","a6be9c5",20796,13,733,1502,23044,24587,""
"pugs","2012-11-17","a6be9c5",0,14425,0,0,14425,24338,""
"rakudo","2012-11-17","a6be9c5",24225,8,668,1713,26614,24589,""
"niecza","2012-11-16","edf27d4",20710,109,731,1491,23041,24585,""
"pugs","2012-11-16","edf27d4",0,14424,0,0,14424,24336,""
"rakudo","2012-11-16","edf27d4",24202,19,667,1715,26603,24587,""
"niecza","2012-11-15","1ef7dda",20725,85,731,1498,23039,24582,""
"pugs","2012-11-15","1ef7dda",0,14424,0,0,14424,24333,""
"rakudo","2012-11-15","1ef7dda",24200,15,667,1715,26597,24584,""
"niecza","2012-11-14","d61f60f",20789,13,732,1498,23032,24575,""
"pugs","2012-11-14","d61f60f",0,14423,0,0,14423,24326,""
"rakudo","2012-11-14","d61f60f",24204,3,668,1715,26590,24577,""
"niecza","2012-11-13","42e1808",20781,10,732,1498,23021,24560,""
"pugs","2012-11-13","42e1808",0,14419,0,0,14419,24311,""
"rakudo","2012-11-13","42e1808",24063,128,647,1738,26576,24562,""
"niecza","2012-11-12","e789a62",0,19931,0,0,19931,24336,""
"pugs","2012-11-12","e789a62",0,14419,0,0,14419,24310,""
"rakudo","2012-11-12","e789a62",24180,2,654,1739,26575,24561,""
"niecza","2012-11-11","e789a62",20784,7,732,1498,23021,24559,""
"pugs","2012-11-11","e789a62",0,14419,0,0,14419,24310,""
"rakudo","2012-11-11","e789a62",24179,3,654,1739,26575,24561,""
"niecza","2012-11-10","e789a62",20783,8,732,1498,23021,24559,""
"pugs","2012-11-10","e789a62",0,14419,0,0,14419,24310,""
"rakudo","2012-11-10","e789a62",24180,2,654,1739,26575,24561,""
"niecza","2012-11-09","9e30ec8",20781,10,732,1498,23021,24559,""
"pugs","2012-11-09","9e30ec8",0,14419,0,0,14419,24310,""
"rakudo","2012-11-09","9e30ec8",24111,2,658,1740,26511,24561,""
"niecza","2012-11-08","9e30ec8",20783,8,732,1498,23021,24559,""
"pugs","2012-11-08","9e30ec8",0,14419,0,0,14419,24310,""
"rakudo","2012-11-08","9e30ec8",24097,16,658,1740,26511,24561,""
"niecza","2012-11-07","aeb200d",20785,6,732,1498,23021,24559,""
"pugs","2012-11-07","aeb200d",0,14419,0,0,14419,24310,""
"rakudo","2012-11-07","aeb200d",24093,2,658,1749,26502,24561,""
"niecza","2012-11-06","224c4bb",20781,10,732,1498,23021,24567,""
"pugs","2012-11-06","224c4bb",0,14419,0,0,14419,24318,""
"rakudo","2012-11-06","224c4bb",24042,2,655,1749,26448,24569,""
"niecza","2012-11-05","a2adec0",20779,8,736,1498,23021,24567,""
"pugs","2012-11-05","a2adec0",0,14419,0,0,14419,24318,""
"rakudo","2012-11-05","a2adec0",24018,16,655,1759,26448,24569,""
"niecza","2012-11-04","a2adec0",20779,8,736,1498,23021,24567,""
"pugs","2012-11-04","a2adec0",0,14419,0,0,14419,24318,""
"rakudo","2012-11-04","a2adec0",24032,2,655,1759,26448,24569,""
"niecza","2012-11-03","eacb839",20781,11,734,1495,23021,24567,""
"pugs","2012-11-03","eacb839",0,14419,0,0,14419,24318,""
"rakudo","2012-11-03","eacb839",24034,0,655,1759,26448,24569,""
"niecza","2012-10-10","",20778,1,739,1496,23014,24549,""
"pugs","2012-10-10","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-10","",23042,139,639,1817,25637,24551,""
"niecza","2012-10-09","",20777,1,739,1496,23013,24548,""
"pugs","2012-10-09","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-09","",23041,139,639,1817,25636,24550,""
"niecza","2012-10-08","",20777,1,739,1496,23013,24548,""
"pugs","2012-10-08","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-08","",23041,139,639,1817,25636,24550,""
"niecza","2012-10-07","",20777,1,739,1496,23013,24548,""
"pugs","2012-10-07","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-07","",23041,139,639,1817,25636,24550,""
"niecza","2012-10-06","",20777,1,739,1496,23013,24547,""
"pugs","2012-10-06","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-06","",0,21734,0,0,21734,24326,""
"niecza","2012-10-05","",20636,153,738,1485,23012,24542,""
"pugs","2012-10-05","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-05","",23040,136,640,1817,25633,24544,""
"niecza","2012-10-04","",20636,153,738,1485,23012,24542,""
"pugs","2012-10-04","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-04","",23040,136,640,1817,25633,24544,""
"niecza","2012-10-03","",20636,153,738,1485,23012,24537,""
"pugs","2012-10-03","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-03","",23040,136,640,1817,25633,24544,""
"niecza","2012-10-02","",20636,153,738,1485,23012,24537,""
"pugs","2012-10-02","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-02","",23040,136,640,1817,25633,24539,""
"niecza","2012-10-01","",20636,153,738,1485,23012,24537,""
"pugs","2012-10-01","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-10-01","",23040,136,640,1817,25633,24539,""
"niecza","2012-09-30","",20636,153,738,1485,23012,24537,""
"pugs","2012-09-30","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-30","",23040,136,640,1817,25633,24539,""
"niecza","2012-09-29","",20636,153,738,1485,23012,24537,""
"pugs","2012-09-29","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-29","",23165,2,644,1822,25633,24539,""
"niecza","2012-09-28","",20636,153,738,1485,23012,24537,""
"pugs","2012-09-28","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-28","",23165,2,644,1822,25633,24539,""
"niecza","2012-09-27","",20636,153,738,1485,23012,24537,""
"pugs","2012-09-27","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-27","",23165,2,644,1822,25633,24539,""
"niecza","2012-09-26","",20636,153,738,1485,23012,24537,""
"pugs","2012-09-26","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-26","",23165,2,644,1822,25633,24539,""
"niecza","2012-09-25","",20636,153,738,1485,23012,24537,""
"pugs","2012-09-25","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-25","",0,21732,0,0,21732,24316,""
"niecza","2012-09-23","",20777,1,741,1489,23008,24533,""
"pugs","2012-09-23","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-23","",23163,3,643,1820,25629,24535,""
"niecza","2012-09-22","",20776,1,741,1489,23007,24532,""
"pugs","2012-09-22","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-22","",23163,2,643,1820,25628,24534,""
"niecza","2012-09-21","",20632,1,741,1489,22863,24388,""
"pugs","2012-09-21","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-21","",23163,2,643,1820,25628,24390,""
"niecza","2012-09-20","",20632,1,741,1489,22863,24388,""
"pugs","2012-09-20","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-20","",23163,2,643,1820,25628,24390,""
"niecza","2012-09-19","",20632,1,741,1489,22863,24388,""
"pugs","2012-09-19","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-19","",22872,120,638,1776,25016,24388,""
"niecza","2012-09-18","",20632,1,741,1489,22863,24388,""
"pugs","2012-09-18","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-18","",22872,120,638,1776,25016,24388,""
"niecza","2012-09-17","",20632,1,741,1489,22863,24387,""
"pugs","2012-09-17","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-17","",22898,82,638,1787,25015,24387,""
"niecza","2012-09-16","",20530,98,734,1452,22814,24386,""
"pugs","2012-09-16","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-16","",22898,81,638,1787,25014,24386,""
"niecza","2012-09-14","",20586,74,734,1467,22861,24384,""
"pugs","2012-09-14","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-14","",22920,40,638,1804,25012,24384,""
"niecza","2012-09-13","",20586,68,734,1467,22855,24378,""
"pugs","2012-09-13","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-13","",22930,17,638,1811,25006,24378,""
"niecza","2012-09-12","",20585,68,734,1467,22854,24377,""
"pugs","2012-09-12","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-12","",22930,16,638,1811,25005,24377,""
"niecza","2012-09-11","",20585,68,734,1467,22854,24377,""
"pugs","2012-09-11","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-11","",22930,16,638,1811,25005,24377,""
"niecza","2012-09-10","",20585,68,734,1467,22854,24377,""
"pugs","2012-09-10","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-10","",22930,16,638,1811,25005,24377,""
"niecza","2012-09-09","",20585,68,734,1467,22854,24375,""
"pugs","2012-09-09","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-09","",22937,3,638,1815,25003,24375,""
"niecza","2012-09-08","",20585,68,734,1467,22854,24375,""
"pugs","2012-09-08","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-08","",22937,3,638,1815,25003,24375,""
"niecza","2012-09-07","",20585,68,734,1467,22854,24375,""
"pugs","2012-09-07","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-07","",22937,3,638,1815,25003,24375,""
"niecza","2012-09-06","",20585,68,734,1467,22854,24375,""
"pugs","2012-09-06","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-06","",22937,3,638,1815,25003,24375,""
"niecza","2012-09-05","",20585,68,734,1467,22854,24375,""
"pugs","2012-09-05","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-05","",22937,3,638,1815,25003,24375,""
"niecza","2012-09-04","",20585,68,734,1467,22854,24375,""
"pugs","2012-09-04","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-04","",22911,41,633,1808,25003,24375,""
"niecza","2012-09-03","",20630,1,742,1481,22854,24375,""
"pugs","2012-09-03","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-09-03","",22940,3,638,1812,25003,24375,""
"niecza","2012-09-02","",20630,1,742,1481,22854,24375,""
"pugs","2012-09-02","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-02","",22940,3,638,1812,25003,24375,""
"niecza","2012-09-01","",20630,1,742,1481,22854,24371,""
"pugs","2012-09-01","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-09-01","",22940,3,638,1812,25003,24371,""
"niecza","2012-08-31","",20630,1,742,1481,22854,24371,""
"pugs","2012-08-31","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-31","",22940,3,638,1812,25003,24371,""
"niecza","2012-08-30","",20630,1,742,1481,22854,24371,""
"pugs","2012-08-30","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-30","",22940,3,638,1812,25003,24371,""
"niecza","2012-08-29","",20630,1,742,1481,22854,24370,""
"pugs","2012-08-29","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-29","",22940,3,638,1812,25003,24370,""
"niecza","2012-08-28","",20630,1,742,1481,22854,24370,""
"pugs","2012-08-28","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-28","",22940,3,638,1812,25003,24370,""
"niecza","2012-08-27","",20630,1,742,1481,22854,24369,""
"pugs","2012-08-27","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-27","",22939,2,639,1812,25002,24369,""
"niecza","2012-08-26","",20630,1,742,1481,22854,24365,""
"pugs","2012-08-26","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-26","",22996,2,639,1812,25449,24365,""
"niecza","2012-08-25","",20630,1,742,1481,22854,24360,""
"pugs","2012-08-25","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-25","",23008,2,639,1812,25461,24360,""
"niecza","2012-08-24","",20630,1,742,1481,22854,24360,""
"pugs","2012-08-24","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-24","",23008,2,639,1812,25461,24360,""
"niecza","2012-08-23","",20630,1,742,1481,22854,24360,""
"pugs","2012-08-23","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-23","",22578,2,639,1809,25014,24360,""
"niecza","2012-08-22","",20630,1,742,1481,22854,24360,""
"pugs","2012-08-22","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-22","",22578,2,639,1809,25014,24360,""
"niecza","2012-08-21","",20630,1,742,1481,22854,24350,""
"pugs","2012-08-21","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-21","",23002,2,639,1812,25455,24350,""
"niecza","2012-08-20","",20630,1,742,1481,22854,24350,""
"pugs","2012-08-20","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-20","",23002,2,639,1812,25455,24350,""
"niecza","2012-08-19","",20630,1,742,1481,22854,24350,""
"pugs","2012-08-19","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-19","",23002,2,639,1812,25455,24350,""
"niecza","2012-08-18","",20630,1,742,1481,22854,24350,""
"pugs","2012-08-18","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-18","",23002,2,639,1812,25455,24350,""
"niecza","2012-08-17","",20630,1,742,1481,22854,24350,""
"pugs","2012-08-17","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-17","",23002,2,639,1812,25455,24350,""
"niecza","2012-08-16","",20630,1,742,1481,22854,24350,""
"pugs","2012-08-16","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-16","",23002,2,639,1812,25455,24350,""
"niecza","2012-08-15","",20630,1,742,1481,22854,24350,""
"pugs","2012-08-15","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-15","",22951,59,638,1807,25455,24350,""
"niecza","2012-08-14","",20630,1,742,1480,22853,24350,""
"pugs","2012-08-14","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-14","",23004,3,639,1808,25454,24350,""
"niecza","2012-08-13","",20628,1,742,1480,22851,24346,""
"pugs","2012-08-13","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-13","",23000,3,641,1808,25452,24346,""
"niecza","2012-08-12","",20601,35,743,1470,22849,24344,""
"pugs","2012-08-12","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-12","",22998,3,641,1808,25450,24344,""
"niecza","2012-08-11","",20601,33,743,1470,22847,24342,""
"pugs","2012-08-11","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-11","",22996,3,641,1808,25448,24342,""
"niecza","2012-08-10","",20601,33,743,1470,22847,24342,""
"pugs","2012-08-10","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-10","",22997,2,641,1808,25448,24342,""
"niecza","2012-08-09","",20601,33,743,1470,22847,24342,""
"pugs","2012-08-09","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-09","",22997,2,641,1808,25448,24342,""
"niecza","2012-08-08","",20601,33,743,1470,22847,24342,""
"pugs","2012-08-08","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-08","",22997,2,641,1808,25448,24342,""
"niecza","2012-08-07","",20601,33,743,1470,22847,24342,""
"pugs","2012-08-07","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-07","",22997,2,641,1808,25448,24342,""
"niecza","2012-08-06","",20621,1,743,1475,22840,24334,""
"pugs","2012-08-06","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-06","",22949,2,641,1839,25431,24334,""
"niecza","2012-08-05","",20621,1,743,1475,22840,24334,""
"pugs","2012-08-05","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-05","",22949,2,641,1839,25431,24334,""
"niecza","2012-08-04","",20621,1,743,1475,22840,24334,""
"pugs","2012-08-04","",9402,6,3426,1715,14549,24195,""
"rakudo","2012-08-04","",22948,3,641,1839,25431,24334,""
"niecza","2012-08-03","",20622,1,742,1475,22840,24334,""
"pugs","2012-08-03","",9404,4,3426,1715,14549,24195,""
"rakudo","2012-08-03","",22950,1,641,1839,25431,24334,""
"niecza","2012-08-02","",20621,2,742,1475,22840,24334,""
"pugs","2012-08-02","",9404,0,3426,1715,14545,24183,""
"rakudo","2012-08-02","",22948,3,641,1839,25431,24334,""
"niecza","2012-07-31","",20621,8,737,1472,22838,24327,""
"pugs","2012-07-31","",9404,0,3426,1715,14545,24183,""
"rakudo","2012-07-31","",22941,3,640,1839,25423,24327,""
"niecza","2012-07-28","",20617,4,737,1472,22830,24319,""
"pugs","2012-07-28","",9361,53,3411,1709,14534,24221,""
"rakudo","2012-07-28","",22930,2,643,1836,25411,24319,""
"niecza","2012-07-27","",20617,4,737,1472,22830,24319,""
"pugs","2012-07-27","",9359,55,3411,1709,14534,24221,""
"rakudo","2012-07-27","",22902,65,643,1803,25413,24319,""
"niecza","2012-07-26","",20618,7,737,1472,22834,24371,""
"pugs","2012-07-26","",9361,53,3411,1709,14534,24221,""
"rakudo","2012-07-26","",22806,195,641,1774,25416,24371,""
"niecza","2012-07-25","",20601,3,738,1472,22814,24364,""
"pugs","2012-07-25","",9399,0,3422,1712,14533,24221,""
"rakudo","2012-07-25","",22899,65,645,1801,25410,24364,""
"niecza","2012-07-24","",20612,1,737,1472,22822,24360,""
"pugs","2012-07-24","",9407,0,3422,1712,14541,24221,""
"rakudo","2012-07-24","",22934,2,645,1833,25414,24360,""
"niecza","2012-07-23","",20612,1,737,1472,22822,24360,""
"pugs","2012-07-23","",9206,0,3394,1669,14269,24222,""
"rakudo","2012-07-23","",22933,3,645,1833,25414,24360,""
"niecza","2012-07-22","",20612,1,737,1472,22822,24359,""
"pugs","2012-07-22","",9206,0,3394,1669,14269,24222,""
"rakudo","2012-07-22","",22934,2,645,1833,25414,24360,""
"niecza","2012-07-21","",20586,30,737,1469,22822,24359,""
"pugs","2012-07-21","",9206,0,3394,1669,14269,24222,""
"rakudo","2012-07-21","",22933,2,645,1833,25413,24359,""
"niecza","2012-07-20","",20588,30,737,1469,22824,24361,""
"pugs","2012-07-20","",9206,0,3394,1669,14269,24222,""
"rakudo","2012-07-20","",22935,2,645,1833,25415,24361,""
"niecza","2012-07-19","",20588,30,737,1469,22824,24361,""
"pugs","2012-07-19","",9142,82,3359,1690,14273,24222,""
"rakudo","2012-07-19","",22932,8,645,1830,25415,24361,""
"niecza","2012-07-18","",20588,30,737,1469,22824,24361,""
"pugs","2012-07-18","",9177,80,3382,1694,14333,24222,""
"rakudo","2012-07-18","",22932,8,645,1830,25415,24361,""
"niecza","2012-07-17","",20615,0,737,1472,22824,24361,""
"pugs","2012-07-17","",9175,1,3378,1693,14247,24222,""
"rakudo","2012-07-17","",22934,6,645,1830,25415,24361,""
"niecza","2012-07-16","",20613,1,738,1472,22824,24361,""
"pugs","2012-07-16","",9089,0,3338,1603,14030,24223,""
"rakudo","2012-07-16","",22933,8,645,1829,25415,24361,""
"niecza","2012-07-16","",20553,99,730,1436,22818,24350,""
"pugs","2012-07-16","",7761,1885,3057,1324,14027,24211,""
"rakudo","2012-07-16","",22934,8,645,1829,25416,24362,""
"niecza","2012-07-14","",20606,5,731,1465,22807,24339,""
"pugs","2012-07-14","",7759,1879,3057,1324,14019,24200,""
"rakudo","2012-07-14","",22910,8,645,1829,25392,24339,""
"niecza","2012-07-13","",20606,5,731,1465,22807,24339,""
"pugs","2012-07-13","",7757,1881,3057,1324,14019,24200,""
"rakudo","2012-07-13","",22910,8,645,1829,25392,24339,""
"niecza","2012-07-12","",20606,5,731,1465,22807,24339,""
"pugs","2012-07-12","",7757,1881,3057,1324,14019,24200,""
"rakudo","2012-07-12","",22910,8,645,1829,25392,24339,""
"niecza","2012-07-11","",20604,5,731,1465,22805,24302,""
"pugs","2012-07-11","",7757,1879,3057,1324,14017,24163,""
"rakudo","2012-07-11","",22867,9,642,1828,25346,24302,""
"niecza","2012-07-10","",20604,5,731,1465,22805,24302,""
"pugs","2012-07-10","",7759,1877,3057,1324,14017,24163,""
"rakudo","2012-07-10","",22867,8,642,1828,25345,24302,""
"niecza","2012-07-09","",20604,5,731,1465,22805,24302,""
"pugs","2012-07-09","",7757,1879,3057,1324,14017,24163,""
"rakudo","2012-07-09","",22866,9,642,1828,25345,24302,""
"niecza","2012-07-08","",20590,5,731,1465,22791,24288,""
"pugs","2012-07-08","",7763,1865,3062,1313,14003,24149,""
"rakudo","2012-07-08","",22851,8,642,1830,25331,24288,""
"niecza","2012-07-07","",20587,4,731,1465,22787,24284,""
"pugs","2012-07-07","",7750,2007,2978,1296,14031,24145,""
"rakudo","2012-07-07","",22847,8,642,1830,25327,24284,""
"niecza","2012-07-06","",20585,3,731,1465,22784,24281,""
"pugs","2012-07-06","",8899,453,3199,1483,14031,24142,""
"rakudo","2012-07-06","",22844,8,642,1830,25324,24281,""
"niecza","2012-07-05","",20495,23,731,1461,22710,24207,""
"pugs","2012-07-05","",7750,2007,2978,1296,14031,24068,""
"rakudo","2012-07-05","",22775,23,628,1824,25250,24207,""
"niecza","2012-07-04","",20503,7,731,1461,22702,24199,""
"pugs","2012-07-04","",7748,2009,2978,1296,14031,24060,""
"rakudo","2012-07-04","",22780,8,629,1825,25242,24199,""
"niecza","2012-07-03","",20503,3,731,1461,22698,24195,""
"pugs","2012-07-03","",7750,2007,2978,1296,14031,24056,""
"rakudo","2012-07-03","",22776,8,629,1825,25238,24195,""
"niecza","2012-07-02","",20503,3,731,1461,22698,24195,""
"pugs","2012-07-02","",7750,2007,2978,1296,14031,24056,""
"rakudo","2012-07-02","",22776,8,629,1825,25238,24195,""
"niecza","2012-07-01","",20499,9,731,1457,22696,24195,""
"pugs","2012-07-01","",7748,2009,2978,1296,14031,24056,""
"rakudo","2012-07-01","",22772,10,629,1825,25236,24195,""
"niecza","2012-06-30","",20499,9,731,1457,22696,24195,""
"pugs","2012-06-30","",7747,2010,2978,1296,14031,24056,""
"rakudo","2012-06-30","",22772,10,629,1825,25236,24195,""
"niecza","2012-06-29","",20498,10,731,1457,22696,24195,""
"pugs","2012-06-29","",7750,2007,2978,1296,14031,24056,""
"rakudo","2012-06-29","",22774,8,629,1825,25236,24195,""
"niecza","2012-06-28","",20492,12,733,1457,22694,24193,""
"pugs","2012-06-28","",7748,2008,2978,1296,14030,24054,""
"rakudo","2012-06-28","",22772,8,629,1825,25234,24193,""
"niecza","2012-06-27","",20473,16,732,1451,22585,24184,""
"pugs","2012-06-27","",7747,2009,2978,1296,14030,24045,""
"rakudo","2012-06-27","",22767,8,629,1825,25229,24184,""
"niecza","2012-06-26","",20471,15,732,1452,22583,24183,""
"pugs","2012-06-26","",7749,2007,2978,1296,14030,24044,""
"rakudo","2012-06-26","",22765,8,629,1825,25227,24183,""
